time	X
7.0	72.0
8.0	74.0
9.0	74.0
10.0	79.0
11.0	80.0
12.0	74.0
13.0	73.0
14.0	73.0
15.0	75.0
16.0	73.0
17.0	74.0
18.0	74.0
19.0	72.0
20.0	74.0
21.0	73.0
22.0	76.0
23.0	72.0
24.0	73.0
25.0	69.0
26.0	69.0
27.0	71.0
28.0	74.0
29.0	78.0
30.0	84.0
31.0	86.0
32.0	88.0
33.0	96.0
34.0	94.0
35.0	101.0
36.0	90.0
37.0	93.0
38.0	86.0
39.0	79.0
40.0	78.0
41.0	75.0
42.0	71.0
43.0	68.0
44.0	72.0
45.0	73.0
46.0	70.0
47.0	68.0
48.0	61.0
49.0	55.0
50.0	61.0
0.0	100.0
1.0	99.0
2.0	95.0
3.0	102.0
4.0	94.0
5.0	94.0
6.0	98.0
7.0	96.0
8.0	89.0
9.0	88.0
10.0	82.0
11.0	80.0
12.0	78.0
13.0	76.0
14.0	78.0
15.0	76.0
16.0	79.0
17.0	80.0
18.0	81.0
19.0	78.0
20.0	85.0
21.0	83.0
22.0	87.0
23.0	87.0
24.0	91.0
25.0	90.0
26.0	85.0
27.0	91.0
28.0	88.0
29.0	95.0
30.0	98.0
31.0	95.0
32.0	96.0
33.0	91.0
34.0	83.0
35.0	83.0
36.0	85.0
37.0	91.0
38.0	90.0
39.0	84.0
40.0	76.0
41.0	72.0
42.0	73.0
43.0	72.0
44.0	72.0
45.0	72.0
46.0	71.0
47.0	68.0
48.0	69.0
49.0	68.0
50.0	61.0
0.0	100.0
1.0	92.0
2.0	101.0
3.0	96.0
4.0	93.0
5.0	89.0
6.0	84.0
7.0	86.0
8.0	82.0
9.0	85.0
10.0	85.0
11.0	93.0
12.0	93.0
13.0	90.0
14.0	87.0
15.0	85.0
16.0	83.0
17.0	81.0
18.0	79.0
19.0	82.0
20.0	77.0
21.0	77.0
22.0	75.0
23.0	74.0
24.0	74.0
25.0	86.0
26.0	85.0
27.0	84.0
28.0	86.0
29.0	85.0
30.0	87.0
31.0	88.0
32.0	85.0
33.0	82.0
34.0	83.0
35.0	74.0
36.0	74.0
37.0	68.0
38.0	73.0
39.0	78.0
40.0	71.0
41.0	71.0
42.0	74.0
43.0	71.0
44.0	72.0
45.0	68.0
46.0	71.0
47.0	73.0
48.0	77.0
49.0	77.0
50.0	81.0
0.0	100.0
1.0	96.0
2.0	89.0
3.0	82.0
4.0	80.0
5.0	84.0
6.0	83.0
7.0	87.0
8.0	79.0
9.0	81.0
10.0	86.0
11.0	87.0
12.0	88.0
13.0	89.0
14.0	88.0
15.0	87.0
16.0	91.0
17.0	89.0
18.0	84.0
19.0	84.0
20.0	79.0
21.0	77.0
22.0	73.0
23.0	70.0
24.0	75.0
25.0	71.0
26.0	69.0
27.0	66.0
28.0	65.0
29.0	67.0
30.0	65.0
31.0	64.0
32.0	63.0
33.0	64.0
34.0	67.0
35.0	69.0
36.0	66.0
37.0	58.0
38.0	57.0
39.0	56.0
40.0	55.0
41.0	59.0
42.0	60.0
43.0	66.0
44.0	70.0
45.0	60.0
46.0	54.0
47.0	50.0
48.0	49.0
49.0	48.0
50.0	50.0
0.0	100.0
1.0	100.0
2.0	96.0
3.0	93.0
4.0	96.0
5.0	91.0
6.0	92.0
7.0	90.0
8.0	90.0
9.0	90.0
10.0	86.0
11.0	75.0
12.0	79.0
13.0	71.0
14.0	73.0
15.0	69.0
16.0	71.0
17.0	71.0
18.0	72.0
19.0	73.0
20.0	73.0
21.0	72.0
22.0	75.0
23.0	76.0
24.0	77.0
25.0	70.0
26.0	72.0
27.0	69.0
28.0	71.0
29.0	67.0
30.0	69.0
31.0	69.0
32.0	67.0
33.0	69.0
34.0	66.0
35.0	68.0
36.0	65.0
37.0	62.0
38.0	64.0
39.0	59.0
40.0	56.0
41.0	54.0
42.0	55.0
43.0	58.0
44.0	56.0
45.0	56.0
46.0	60.0
47.0	61.0
48.0	60.0
49.0	68.0
50.0	70.0
0.0	100.0
1.0	100.0
2.0	96.0
3.0	90.0
4.0	84.0
5.0	80.0
6.0	77.0
7.0	74.0
8.0	70.0
9.0	70.0
10.0	74.0
11.0	77.0
12.0	81.0
13.0	77.0
14.0	79.0
15.0	80.0
16.0	72.0
17.0	75.0
18.0	80.0
19.0	80.0
20.0	80.0
21.0	81.0
22.0	83.0
23.0	74.0
24.0	75.0
25.0	72.0
26.0	72.0
27.0	67.0
28.0	68.0
29.0	67.0
30.0	69.0
31.0	76.0
32.0	79.0
33.0	75.0
34.0	73.0
35.0	70.0
36.0	72.0
37.0	70.0
38.0	75.0
39.0	76.0
40.0	73.0
41.0	71.0
42.0	79.0
43.0	84.0
44.0	86.0
45.0	87.0
46.0	87.0
47.0	83.0
48.0	84.0
49.0	85.0
50.0	87.0
0.0	100.0
1.0	95.0
2.0	96.0
3.0	94.0
4.0	96.0
5.0	95.0
6.0	89.0
7.0	86.0
8.0	87.0
9.0	79.0
10.0	72.0
11.0	68.0
12.0	55.0
13.0	62.0
14.0	54.0
15.0	44.0
16.0	43.0
17.0	41.0
18.0	38.0
19.0	38.0
20.0	44.0
21.0	44.0
22.0	41.0
23.0	45.0
24.0	43.0
25.0	40.0
26.0	43.0
27.0	39.0
28.0	38.0
29.0	41.0
30.0	40.0
31.0	39.0
32.0	36.0
33.0	37.0
34.0	37.0
35.0	35.0
36.0	33.0
37.0	30.0
38.0	24.0
39.0	22.0
40.0	18.0
41.0	18.0
42.0	23.0
43.0	20.0
44.0	21.0
45.0	19.0
46.0	18.0
47.0	15.0
48.0	16.0
49.0	16.0
50.0	13.0
0.0	100.0
1.0	96.0
2.0	88.0
3.0	85.0
4.0	93.0
5.0	89.0
6.0	87.0
7.0	89.0
8.0	85.0
9.0	82.0
10.0	77.0
11.0	70.0
12.0	70.0
13.0	70.0
14.0	66.0
15.0	67.0
16.0	61.0
17.0	60.0
18.0	59.0
19.0	58.0
20.0	53.0
21.0	57.0
22.0	55.0
23.0	61.0
24.0	62.0
25.0	65.0
26.0	70.0
27.0	66.0
28.0	71.0
29.0	76.0
30.0	73.0
31.0	75.0
32.0	75.0
33.0	69.0
34.0	62.0
35.0	61.0
36.0	59.0
37.0	61.0
38.0	63.0
39.0	60.0
40.0	55.0
41.0	57.0
42.0	54.0
43.0	52.0
44.0	54.0
45.0	51.0
46.0	52.0
47.0	46.0
48.0	53.0
49.0	47.0
50.0	50.0
0.0	100.0
1.0	99.0
2.0	103.0
3.0	106.0
4.0	111.0
5.0	110.0
6.0	112.0
7.0	120.0
8.0	119.0
9.0	126.0
10.0	120.0
11.0	125.0
12.0	125.0
13.0	127.0
14.0	122.0
15.0	120.0
16.0	115.0
17.0	108.0
18.0	105.0
19.0	104.0
20.0	99.0
21.0	100.0
22.0	106.0
23.0	118.0
24.0	118.0
25.0	115.0
26.0	117.0
27.0	120.0
28.0	114.0
29.0	115.0
30.0	113.0
31.0	109.0
32.0	110.0
33.0	111.0
34.0	110.0
35.0	108.0
36.0	101.0
37.0	100.0
38.0	103.0
39.0	103.0
40.0	107.0
41.0	111.0
42.0	109.0
43.0	102.0
44.0	97.0
45.0	92.0
46.0	95.0
47.0	96.0
48.0	96.0
49.0	97.0
50.0	96.0
0.0	100.0
1.0	104.0
2.0	101.0
3.0	94.0
4.0	104.0
5.0	103.0
6.0	104.0
7.0	102.0
8.0	106.0
9.0	104.0
10.0	91.0
11.0	82.0
12.0	76.0
13.0	79.0
14.0	78.0
15.0	83.0
16.0	84.0
17.0	84.0
18.0	86.0
19.0	87.0
20.0	86.0
21.0	87.0
22.0	81.0
23.0	81.0
24.0	75.0
25.0	73.0
26.0	76.0
27.0	71.0
28.0	65.0
29.0	66.0
30.0	67.0
31.0	68.0
32.0	64.0
33.0	60.0
34.0	61.0
35.0	63.0
36.0	61.0
37.0	58.0
38.0	56.0
39.0	51.0
40.0	53.0
41.0	59.0
42.0	53.0
43.0	57.0
44.0	58.0
45.0	60.0
46.0	59.0
47.0	50.0
48.0	49.0
49.0	55.0
50.0	54.0
0.0	100.0
1.0	90.0
2.0	85.0
3.0	84.0
4.0	83.0
5.0	77.0
6.0	76.0
7.0	73.0
8.0	68.0
9.0	65.0
10.0	60.0
11.0	64.0
12.0	64.0
13.0	64.0
14.0	63.0
15.0	63.0
16.0	62.0
17.0	49.0
18.0	50.0
19.0	51.0
20.0	53.0
21.0	47.0
22.0	47.0
23.0	50.0
24.0	50.0
25.0	57.0
26.0	56.0
27.0	51.0
28.0	52.0
29.0	52.0
30.0	56.0
31.0	55.0
32.0	54.0
33.0	49.0
34.0	46.0
35.0	46.0
36.0	47.0
37.0	49.0
38.0	44.0
39.0	42.0
40.0	41.0
41.0	38.0
42.0	38.0
43.0	35.0
44.0	36.0
45.0	38.0
46.0	34.0
47.0	34.0
48.0	35.0
49.0	36.0
50.0	33.0
0.0	100.0
1.0	95.0
2.0	91.0
3.0	88.0
4.0	90.0
5.0	93.0
6.0	86.0
7.0	81.0
8.0	81.0
9.0	73.0
10.0	67.0
11.0	63.0
12.0	59.0
13.0	62.0
14.0	59.0
15.0	70.0
16.0	69.0
17.0	71.0
18.0	70.0
19.0	70.0
20.0	66.0
21.0	64.0
22.0	73.0
23.0	77.0
24.0	77.0
25.0	76.0
26.0	70.0
27.0	73.0
28.0	70.0
29.0	73.0
30.0	78.0
31.0	74.0
32.0	79.0
33.0	77.0
34.0	77.0
35.0	73.0
36.0	71.0
37.0	72.0
38.0	77.0
39.0	74.0
40.0	77.0
41.0	74.0
42.0	76.0
43.0	76.0
44.0	76.0
45.0	73.0
46.0	80.0
47.0	80.0
48.0	89.0
49.0	93.0
50.0	88.0
0.0	100.0
1.0	91.0
2.0	89.0
3.0	90.0
4.0	81.0
5.0	77.0
6.0	76.0
7.0	74.0
8.0	72.0
9.0	71.0
10.0	73.0
11.0	72.0
12.0	74.0
13.0	73.0
14.0	67.0
15.0	71.0
16.0	66.0
17.0	68.0
18.0	72.0
19.0	72.0
20.0	75.0
21.0	79.0
22.0	77.0
23.0	75.0
24.0	75.0
25.0	76.0
26.0	77.0
27.0	77.0
28.0	73.0
29.0	71.0
30.0	72.0
31.0	72.0
32.0	67.0
33.0	67.0
34.0	61.0
35.0	55.0
36.0	57.0
37.0	51.0
38.0	49.0
39.0	53.0
40.0	55.0
41.0	58.0
42.0	52.0
43.0	55.0
44.0	55.0
45.0	61.0
46.0	59.0
47.0	66.0
48.0	76.0
49.0	74.0
50.0	67.0
0.0	100.0
1.0	97.0
2.0	98.0
3.0	101.0
4.0	103.0
5.0	104.0
6.0	105.0
7.0	97.0
8.0	90.0
9.0	93.0
10.0	81.0
11.0	84.0
12.0	82.0
13.0	78.0
14.0	71.0
15.0	69.0
16.0	66.0
17.0	64.0
18.0	64.0
19.0	72.0
20.0	68.0
21.0	71.0
22.0	70.0
23.0	71.0
24.0	70.0
25.0	68.0
26.0	65.0
27.0	59.0
28.0	60.0
29.0	64.0
30.0	63.0
31.0	54.0
32.0	52.0
33.0	51.0
34.0	50.0
35.0	47.0
36.0	48.0
37.0	52.0
38.0	47.0
39.0	50.0
40.0	49.0
41.0	51.0
42.0	49.0
43.0	52.0
44.0	45.0
45.0	44.0
46.0	42.0
47.0	39.0
48.0	35.0
49.0	35.0
50.0	32.0
0.0	100.0
1.0	100.0
2.0	95.0
3.0	92.0
4.0	91.0
5.0	95.0
6.0	97.0
7.0	99.0
8.0	99.0
9.0	98.0
10.0	94.0
11.0	85.0
12.0	77.0
13.0	78.0
14.0	85.0
15.0	89.0
16.0	81.0
17.0	79.0
18.0	79.0
19.0	85.0
20.0	87.0
21.0	79.0
22.0	74.0
23.0	71.0
24.0	73.0
25.0	66.0
26.0	71.0
27.0	63.0
28.0	65.0
29.0	63.0
30.0	62.0
31.0	62.0
32.0	60.0
33.0	65.0
34.0	62.0
35.0	64.0
36.0	62.0
37.0	67.0
38.0	67.0
39.0	67.0
40.0	67.0
41.0	61.0
42.0	60.0
43.0	54.0
44.0	55.0
45.0	52.0
46.0	47.0
47.0	46.0
48.0	42.0
49.0	42.0
50.0	37.0
0.0	100.0
1.0	102.0
2.0	101.0
3.0	91.0
4.0	92.0
5.0	103.0
6.0	94.0
7.0	87.0
8.0	84.0
9.0	87.0
10.0	79.0
11.0	76.0
12.0	72.0
13.0	71.0
14.0	61.0
15.0	66.0
16.0	67.0
17.0	64.0
18.0	63.0
19.0	65.0
20.0	63.0
21.0	61.0
22.0	56.0
23.0	51.0
24.0	46.0
25.0	48.0
26.0	47.0
27.0	49.0
28.0	48.0
29.0	48.0
30.0	50.0
31.0	46.0
32.0	43.0
33.0	43.0
34.0	42.0
35.0	41.0
36.0	44.0
37.0	39.0
38.0	41.0
39.0	40.0
40.0	42.0
41.0	44.0
42.0	41.0
43.0	37.0
44.0	29.0
45.0	31.0
46.0	34.0
47.0	35.0
48.0	34.0
49.0	29.0
50.0	23.0
0.0	100.0
1.0	96.0
2.0	91.0
3.0	93.0
4.0	93.0
5.0	95.0
6.0	92.0
7.0	86.0
8.0	87.0
9.0	85.0
10.0	90.0
11.0	90.0
12.0	93.0
13.0	96.0
14.0	90.0
15.0	86.0
16.0	84.0
17.0	93.0
18.0	85.0
19.0	79.0
20.0	73.0
21.0	77.0
22.0	76.0
23.0	80.0
24.0	73.0
25.0	75.0
26.0	71.0
27.0	72.0
28.0	71.0
29.0	70.0
30.0	65.0
31.0	63.0
32.0	63.0
33.0	55.0
34.0	55.0
35.0	66.0
36.0	61.0
37.0	58.0
38.0	50.0
39.0	47.0
40.0	43.0
41.0	41.0
42.0	40.0
43.0	44.0
44.0	40.0
45.0	40.0
46.0	42.0
47.0	45.0
48.0	45.0
49.0	42.0
50.0	45.0
0.0	100.0
1.0	97.0
2.0	96.0
3.0	92.0
4.0	90.0
5.0	93.0
6.0	92.0
7.0	91.0
8.0	83.0
9.0	77.0
10.0	78.0
11.0	74.0
12.0	73.0
13.0	74.0
14.0	68.0
15.0	65.0
16.0	64.0
17.0	63.0
18.0	72.0
19.0	63.0
20.0	66.0
21.0	66.0
22.0	62.0
23.0	62.0
24.0	63.0
25.0	57.0
26.0	60.0
27.0	58.0
28.0	56.0
29.0	57.0
30.0	58.0
31.0	62.0
32.0	60.0
33.0	59.0
34.0	55.0
35.0	58.0
36.0	58.0
37.0	59.0
38.0	62.0
39.0	58.0
40.0	56.0
41.0	58.0
42.0	65.0
43.0	64.0
44.0	62.0
45.0	66.0
46.0	66.0
47.0	63.0
48.0	67.0
49.0	73.0
50.0	74.0
0.0	100.0
1.0	97.0
2.0	94.0
3.0	86.0
4.0	93.0
5.0	95.0
6.0	97.0
7.0	94.0
8.0	98.0
9.0	94.0
10.0	93.0
11.0	88.0
12.0	80.0
13.0	77.0
14.0	73.0
15.0	72.0
16.0	72.0
17.0	75.0
18.0	74.0
19.0	73.0
20.0	72.0
21.0	81.0
22.0	81.0
23.0	86.0
24.0	85.0
25.0	82.0
26.0	80.0
27.0	83.0
28.0	83.0
29.0	86.0
30.0	86.0
31.0	85.0
32.0	83.0
33.0	81.0
34.0	80.0
35.0	78.0
36.0	82.0
37.0	80.0
38.0	80.0
39.0	88.0
40.0	89.0
41.0	84.0
42.0	89.0
43.0	89.0
44.0	91.0
45.0	81.0
46.0	84.0
47.0	77.0
48.0	76.0
49.0	74.0
50.0	75.0
0.0	100.0
1.0	99.0
2.0	102.0
3.0	95.0
4.0	98.0
5.0	87.0
6.0	90.0
7.0	87.0
8.0	85.0
9.0	81.0
10.0	85.0
11.0	86.0
12.0	89.0
13.0	86.0
14.0	89.0
15.0	89.0
16.0	88.0
17.0	90.0
18.0	92.0
19.0	96.0
20.0	98.0
21.0	100.0
22.0	110.0
23.0	115.0
24.0	111.0
25.0	109.0
26.0	106.0
27.0	108.0
28.0	97.0
29.0	94.0
30.0	91.0
31.0	86.0
32.0	86.0
33.0	85.0
34.0	90.0
35.0	89.0
36.0	91.0
37.0	93.0
38.0	89.0
39.0	87.0
40.0	86.0
41.0	85.0
42.0	87.0
43.0	89.0
44.0	90.0
45.0	89.0
46.0	88.0
47.0	83.0
48.0	85.0
49.0	82.0
50.0	72.0
0.0	100.0
1.0	101.0
2.0	105.0
3.0	105.0
4.0	106.0
5.0	106.0
6.0	110.0
7.0	101.0
8.0	104.0
9.0	98.0
10.0	94.0
11.0	93.0
12.0	90.0
13.0	90.0
14.0	85.0
15.0	82.0
16.0	88.0
17.0	93.0
18.0	99.0
19.0	94.0
20.0	91.0
21.0	84.0
22.0	84.0
23.0	85.0
24.0	76.0
25.0	73.0
26.0	66.0
27.0	67.0
28.0	67.0
29.0	64.0
30.0	67.0
31.0	62.0
32.0	62.0
33.0	60.0
34.0	68.0
35.0	62.0
36.0	52.0
37.0	49.0
38.0	51.0
39.0	54.0
40.0	52.0
41.0	52.0
42.0	51.0
43.0	52.0
44.0	57.0
45.0	58.0
46.0	63.0
47.0	61.0
48.0	56.0
49.0	56.0
50.0	53.0
0.0	100.0
1.0	104.0
2.0	102.0
3.0	95.0
4.0	101.0
5.0	104.0
6.0	110.0
7.0	109.0
8.0	119.0
9.0	120.0
10.0	121.0
11.0	111.0
12.0	112.0
13.0	119.0
14.0	124.0
15.0	120.0
16.0	115.0
17.0	113.0
18.0	117.0
19.0	110.0
20.0	120.0
21.0	124.0
22.0	118.0
23.0	113.0
24.0	119.0
25.0	125.0
26.0	117.0
27.0	117.0
28.0	120.0
29.0	122.0
30.0	128.0
31.0	133.0
32.0	134.0
33.0	137.0
34.0	123.0
35.0	124.0
36.0	115.0
37.0	117.0
38.0	116.0
39.0	116.0
40.0	108.0
41.0	107.0
42.0	112.0
43.0	108.0
44.0	102.0
45.0	104.0
46.0	108.0
47.0	102.0
48.0	102.0
49.0	100.0
50.0	91.0
0.0	100.0
1.0	92.0
2.0	99.0
3.0	104.0
4.0	101.0
5.0	102.0
6.0	95.0
7.0	92.0
8.0	88.0
9.0	85.0
10.0	84.0
11.0	84.0
12.0	86.0
13.0	81.0
14.0	77.0
15.0	80.0
16.0	80.0
17.0	79.0
18.0	80.0
19.0	77.0
20.0	75.0
21.0	73.0
22.0	66.0
23.0	66.0
24.0	66.0
25.0	62.0
26.0	51.0
27.0	51.0
28.0	53.0
29.0	54.0
30.0	53.0
31.0	57.0
32.0	55.0
33.0	55.0
34.0	59.0
35.0	60.0
36.0	57.0
37.0	55.0
38.0	51.0
39.0	45.0
40.0	50.0
41.0	53.0
42.0	56.0
43.0	57.0
44.0	54.0
45.0	60.0
46.0	59.0
47.0	60.0
48.0	60.0
49.0	58.0
50.0	58.0
0.0	100.0
1.0	100.0
2.0	97.0
3.0	98.0
4.0	86.0
5.0	86.0
6.0	84.0
7.0	86.0
8.0	83.0
9.0	80.0
10.0	79.0
11.0	77.0
12.0	75.0
13.0	77.0
14.0	72.0
15.0	74.0
16.0	72.0
17.0	72.0
18.0	73.0
19.0	76.0
20.0	71.0
21.0	61.0
22.0	58.0
23.0	60.0
24.0	63.0
25.0	67.0
26.0	68.0
27.0	62.0
28.0	63.0
29.0	63.0
30.0	68.0
31.0	68.0
32.0	71.0
33.0	81.0
34.0	75.0
35.0	86.0
36.0	91.0
37.0	95.0
38.0	89.0
39.0	94.0
40.0	86.0
41.0	78.0
42.0	80.0
43.0	82.0
44.0	82.0
45.0	82.0
46.0	83.0
47.0	82.0
48.0	80.0
49.0	77.0
50.0	69.0
0.0	100.0
1.0	98.0
2.0	97.0
3.0	92.0
4.0	90.0
5.0	92.0
6.0	91.0
7.0	88.0
8.0	91.0
9.0	89.0
10.0	91.0
11.0	90.0
12.0	81.0
13.0	76.0
14.0	86.0
15.0	83.0
16.0	83.0
17.0	74.0
18.0	71.0
19.0	65.0
20.0	67.0
21.0	68.0
22.0	68.0
23.0	69.0
24.0	73.0
25.0	71.0
26.0	71.0
27.0	70.0
28.0	66.0
29.0	65.0
30.0	64.0
31.0	69.0
32.0	73.0
33.0	73.0
34.0	72.0
35.0	69.0
36.0	66.0
37.0	64.0
38.0	64.0
39.0	61.0
40.0	61.0
41.0	58.0
42.0	54.0
43.0	55.0
44.0	56.0
45.0	53.0
46.0	58.0
47.0	53.0
48.0	50.0
49.0	54.0
50.0	53.0
0.0	100.0
1.0	106.0
2.0	105.0
3.0	107.0
4.0	99.0
5.0	98.0
6.0	97.0
7.0	92.0
8.0	91.0
9.0	90.0
10.0	82.0
11.0	84.0
12.0	79.0
13.0	81.0
14.0	81.0
15.0	79.0
16.0	80.0
17.0	79.0
18.0	73.0
19.0	73.0
20.0	70.0
21.0	70.0
22.0	69.0
23.0	69.0
24.0	73.0
25.0	77.0
26.0	72.0
27.0	71.0
28.0	75.0
29.0	71.0
30.0	70.0
31.0	68.0
32.0	67.0
33.0	68.0
34.0	76.0
35.0	76.0
36.0	80.0
37.0	71.0
38.0	71.0
39.0	74.0
40.0	78.0
41.0	81.0
42.0	80.0
43.0	76.0
44.0	70.0
45.0	71.0
46.0	74.0
47.0	71.0
48.0	71.0
49.0	70.0
50.0	62.0
0.0	100.0
1.0	114.0
2.0	112.0
3.0	116.0
4.0	120.0
5.0	113.0
6.0	113.0
7.0	106.0
8.0	101.0
9.0	93.0
10.0	86.0
11.0	79.0
12.0	73.0
13.0	74.0
14.0	77.0
15.0	75.0
16.0	75.0
17.0	71.0
18.0	70.0
19.0	70.0
20.0	64.0
21.0	62.0
22.0	69.0
23.0	69.0
24.0	64.0
25.0	64.0
26.0	68.0
27.0	64.0
28.0	63.0
29.0	61.0
30.0	65.0
31.0	64.0
32.0	67.0
33.0	70.0
34.0	65.0
35.0	62.0
36.0	55.0
37.0	51.0
38.0	49.0
39.0	51.0
40.0	50.0
41.0	48.0
42.0	49.0
43.0	51.0
44.0	51.0
45.0	47.0
46.0	47.0
47.0	43.0
48.0	41.0
49.0	42.0
50.0	43.0
0.0	100.0
1.0	106.0
2.0	106.0
3.0	93.0
4.0	87.0
5.0	85.0
6.0	80.0
7.0	81.0
8.0	80.0
9.0	85.0
10.0	85.0
11.0	87.0
12.0	80.0
13.0	83.0
14.0	86.0
15.0	78.0
16.0	79.0
17.0	72.0
18.0	72.0
19.0	74.0
20.0	76.0
21.0	72.0
22.0	69.0
23.0	64.0
24.0	67.0
25.0	71.0
26.0	70.0
27.0	67.0
28.0	67.0
29.0	62.0
30.0	66.0
31.0	63.0
32.0	63.0
33.0	59.0
34.0	65.0
35.0	57.0
36.0	52.0
37.0	54.0
38.0	54.0
39.0	52.0
40.0	50.0
41.0	49.0
42.0	49.0
43.0	52.0
44.0	51.0
45.0	53.0
46.0	51.0
47.0	54.0
48.0	55.0
49.0	55.0
50.0	52.0
0.0	100.0
1.0	107.0
2.0	105.0
3.0	106.0
4.0	113.0
5.0	107.0
6.0	104.0
7.0	102.0
8.0	98.0
9.0	95.0
10.0	88.0
11.0	87.0
12.0	91.0
13.0	102.0
14.0	94.0
